"letter" "boy.freq_pop" "boy.freq_obs" "girl.freq_pop" "girl.freq_obs" "both.freq_pop" "both.freq_obs"
"A" 8901618 224 11547024 272 20448642 496
"B" 6157982 146 6401778 136 12559760 282
"C" 10212882 226 8364906 203 18577788 429
"D" 11219785 173 6912345 120 18132130 293
"E" 5410619 162 7292273 195 12702892 357
"F" 2150309 76 1245697 49 3396006 125
"G" 5288051 121 2688633 90 7976684 211
"H" 3034463 110 3115917 71 6150380 181
"I" 837965 36 1135905 50 1973870 86
"J" 26685580 330 10685721 222 37371301 552
"K" 3940568 65 7218049 152 11158617 217
"L" 4983275 169 7957425 202 12940700 371
"M" 10398943 198 14999102 308 25398045 506
"N" 2520414 63 2875727 79 5396141 142
"O" 616296 44 594318 28 1210614 72
"P" 3496715 83 3975342 69 7472057 152
"Q" 0 0 27220 1 27220 1
"R" 13598353 184 4770879 132 18369232 316
"S" 5787450 123 10004744 200 15792194 323
"T" 6386581 105 3436449 76 9823030 181
"V" 842536 43 2763304 96 3605840 139
"W" 6306791 110 887960 33 7194751 143
"X" 144753 4 21020 1 165773 5
"Y" 0 0 237567 10 237567 10
"Z" 532049 5 209966 5 742015 10
